datetime, Max, Min, Average,
07/28/2017 11,28.70000076,27.10000038,28.00909123, 
07/28/2017 12,28.79999924,28.10000038,28.36166671, 
07/28/2017 13,29.10000038,28.5,28.88333343, 
07/28/2017 14,29.70000076,28.39999962,29.19333324, 
07/28/2017 15,29.29999924,28.39999962,28.83333337, 
07/28/2017 16,29,23.79999924,26.47999986, 
07/28/2017 17,23.70000076,23.5,23.58000031, 
07/28/2017 18,23.89999962,22.79999924,23.28166644, 
07/28/2017 19,22.89999962,22.29999924,22.58499985, 
07/28/2017 20,23,22.39999962,22.63833342, 
07/28/2017 21,23.39999962,23,23.26166643, 
07/28/2017 22,23.39999962,22.29999924,22.87833325, 
07/28/2017 23,22.39999962,21.79999924,22.07833344, 
07/29/2017 00,21.89999962,21.70000076,21.81499955, 
07/29/2017 01,22.10000038,21.89999962,21.94666646, 
07/29/2017 02,21.89999962,21.20000076,21.62666645, 
07/29/2017 03,21.5,21,21.20333341, 
07/29/2017 04,21.29999924,21,21.19999997, 
07/29/2017 05,21.39999962,21.20000076,21.25999991, 
07/29/2017 06,22,21.39999962,21.55249977, 
07/29/2017 07,23.20000076,22.29999924,22.70576928, 
07/29/2017 08,25.39999962,23.10000038,23.69166686, 
07/29/2017 09,26.79999924,25,25.65166658, 
07/29/2017 10,27.20000076,26.5,26.89166654, 
07/29/2017 11,27.20000076,26.39999962,26.74833349, 
07/29/2017 12,28.5,27.10000038,27.48333343, 
07/29/2017 13,28.39999962,27.20000076,27.74999994, 
07/29/2017 14,27.60000038,26.70000076,27.14166651, 
07/29/2017 15,26.89999962,24,25.15000003, 
07/29/2017 16,25.79999924,24.70000076,25.50000014, 
07/29/2017 17,21.39999962,21.10000038,21.22121239, 
07/29/2017 18,21.39999962,21.10000038,21.24166695, 
07/29/2017 19,21.29999924,21.10000038,21.19166721, 
07/29/2017 20,21.20000076,21,21.10172453, 
07/29/2017 21,21.20000076,21,21.11500044, 
07/29/2017 22,21.20000076,20.89999962,21.06000023, 
07/29/2017 23,21.10000038,20.70000076,20.88999968, 
07/30/2017 00,21,20.60000038,20.79666665, 
07/30/2017 01,20.70000076,20.60000038,20.65166725, 
07/30/2017 02,20.79999924,20.60000038,20.65166712, 
07/30/2017 03,20.70000076,20.39999962,20.55666688, 
07/30/2017 04,20.60000038,20.29999924,20.45166648, 
07/30/2017 05,20.60000038,20.29999924,20.40833298, 
07/30/2017 06,20.70000076,20.29999924,20.47166656, 
07/30/2017 07,21.20000076,20.60000038,20.9516668, 
07/30/2017 08,22,21,21.4183335, 
07/30/2017 09,23,22,22.53666662, 
07/30/2017 10,23,21.89999962,22.32833319, 
07/30/2017 11,23.89999962,22.29999924,23.02833312, 
07/30/2017 12,25.20000076,23.89999962,24.54181803, 
07/30/2017 13,25.70000076,25,25.40666672, 
07/30/2017 14,25.70000076,24.70000076,25.1000001, 
07/30/2017 15,25.60000038,24.60000038,25.08305074, 
07/30/2017 16,26.79999924,25,25.94186047, 
07/30/2017 17,26.10000038,24,24.7700002, 
07/30/2017 18,24,23.70000076,23.90333316, 
07/30/2017 19,23.60000038,23.10000038,23.37333339, 
07/30/2017 20,23.10000038,22.79999924,22.93999977, 
07/30/2017 21,22.89999962,22.70000076,22.84166625, 
07/30/2017 22,22.79999924,22.60000038,22.68867968, 
07/30/2017 23,22.60000038,22.29999924,22.40294081, 
07/31/2017 00,22.39999962,22.10000038,22.23833361, 
07/31/2017 01,22.20000076,22.10000038,22.1483339, 
07/31/2017 02,22.20000076,22,22.17166732, 
07/31/2017 03,22.10000038,21.89999962,21.9749999, 
07/31/2017 04,21.89999962,21.5,21.62833341, 
07/31/2017 05,21.5,21.29999924,21.41499968, 
07/31/2017 06,22,21.5,21.73666677, 
07/31/2017 07,23.29999924,22,22.6233333, 
07/31/2017 08,25,23.29999924,23.98750002, 
07/31/2017 09,26.10000038,25.39999962,25.75555558, 
07/31/2017 10,28.29999924,26.29999924,27.36833321, 
07/31/2017 11,28.60000038,27.89999962,28.16166665, 
07/31/2017 12,28.60000038,27.10000038,28.04166676, 
07/31/2017 13,27.20000076,26.60000038,26.92666667, 
07/31/2017 14,28.39999962,26.5,27.3166667, 
07/31/2017 15,27.60000038,26.39999962,26.93666658, 
07/31/2017 16,26.70000076,26.5,26.59459496, 
07/31/2017 17,26.60000038,26,26.34528282, 
07/31/2017 18,26,24.79999924,25.6166667, 
07/31/2017 19,25,24.60000038,24.79347805, 
07/31/2017 20,24.60000038,24.39999962,24.4816666, 
07/31/2017 21,24.39999962,24.10000038,24.26499983, 
07/31/2017 22,24.10000038,23.79999924,23.97333323, 
07/31/2017 23,23.79999924,23.39999962,23.60833356, 
08/01/2017 00,23.39999962,22.70000076,23.2069762, 
08/01/2017 01,21.89999962,21.39999962,21.5821429, 
08/01/2017 02,22,21.5,21.73666703, 
