gsid,index_no,station,district,year,month,days,utc_hour,rh
366,1030,Kathmandu Airport,Kathmandu,2017,5,2,12,60.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,3,3,73.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,3,12,73.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,4,3,73.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,4,12,93.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,5,3,78.8
366,1030,Kathmandu Airport,Kathmandu,2017,5,5,12,65.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,6,3,77.1
366,1030,Kathmandu Airport,Kathmandu,2017,5,6,12,72.8
366,1030,Kathmandu Airport,Kathmandu,2017,5,7,3,77.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,7,12,62.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,8,3,77.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,8,12,96.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,9,3,97.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,9,12,68.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,10,3,93.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,10,12,62.1
366,1030,Kathmandu Airport,Kathmandu,2017,5,11,3,77.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,11,12,87.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,12,3,85.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,12,12,74.3
366,1030,Kathmandu Airport,Kathmandu,2017,5,13,3,79.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,13,12,68
366,1030,Kathmandu Airport,Kathmandu,2017,5,14,3,79.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,14,12,82.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,15,3,82.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,15,12,100
366,1030,Kathmandu Airport,Kathmandu,2017,5,16,3,96.1
366,1030,Kathmandu Airport,Kathmandu,2017,5,16,12,71.8
366,1030,Kathmandu Airport,Kathmandu,2017,5,17,3,87.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,17,12,76.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,18,3,72.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,18,12,65.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,19,3,72.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,19,12,61.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,20,3,64.8
366,1030,Kathmandu Airport,Kathmandu,2017,5,20,12,57.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,21,3,67.8
366,1030,Kathmandu Airport,Kathmandu,2017,5,21,12,59.3
366,1030,Kathmandu Airport,Kathmandu,2017,5,22,3,69.5
366,1030,Kathmandu Airport,Kathmandu,2017,5,22,12,62.4
