datetime, Max, Min, Average
03/10/2017 03, 10.8999996185, 10.3000001907, 10.681666612606664, 
03/10/2017 04, 10.3000001907, 10.1000003815, 10.198333342890004, 
03/10/2017 05, 10.8999996185, 10.1000003815, 10.526666561761662, 
03/10/2017 06, 11.3999996185, 10.8000001907, 11.078333187099998, 
03/10/2017 07, 11.8000001907, 11.3999996185, 11.593333307915008, 
03/10/2017 08, 11.8999996185, 11.3999996185, 11.696666685736668, 
03/10/2017 09, 13.1000003815, 11.8000001907, 12.626666609441665, 
03/10/2017 10, 16.8999996185, 13.1999998093, 15.016666746135, 
03/10/2017 11, 17.7999992371, 16.6000003815, 17.090000057220003, 
03/10/2017 12, 20.1000003815, 17.7999992371, 19.183333365118333, 
03/10/2017 13, 19.8999996185, 13.6000003815, 17.079999939601667, 
03/10/2017 14, 16.7000007629, 13.6000003815, 15.193333339691666, 
03/10/2017 15, 18, 16.5, 17.391666571293335, 
03/10/2017 16, 17.5, 14.6999998093, 16.22833337783333, 
03/10/2017 17, 14.6000003815, 12.1999998093, 13.126666736606666, 
03/10/2017 18, 12.1999998093, 11.6999998093, 11.935593136281353, 
03/10/2017 19, 11.8999996185, 11.6000003815, 11.729999987293342, 
03/10/2017 20, 12, 10.8999996185, 11.31016943011356, 
03/10/2017 21, 11.8999996185, 10.8999996185, 11.17833331425833, 
03/10/2017 22, 11.6000003815, 10.3000001907, 10.871929837943856, 
03/10/2017 23, 10.3000001907, 10.1999998093, 10.255000019069993, 
03/11/2017 00, 10.8999996185, 10.3000001907, 10.717241402318969, 
03/11/2017 01, 10.6000003815, 10.1000003815, 10.293333196646673, 
03/11/2017 02, 10.3999996185, 10.1000003815, 10.285454437943635, 
03/11/2017 03, 10.1000003815, 9.69999980927, 9.998148176412965, 
03/11/2017 04, 9.60000038147, 8.80000019073, 9.026666704812328, 
03/11/2017 05, 9.19999980927, 8.89999961853, 9.059322017735596, 
03/11/2017 06, 8.89999961853, 8.5, 8.70666669209834, 
03/11/2017 07, 9.39999961853, 8.60000038147, 9.044999949137669, 
03/11/2017 08, 9.39999961853, 9.19999980927, 9.34827571079482, 
03/11/2017 09, 9.80000019073, 9.10000038147, 9.37166663805716, 
03/11/2017 10, 12.8999996185, 9.60000038147, 11.040000025429169, 
03/11/2017 11, 15, 13, 14.20499998728834, 
03/11/2017 12, 15, 14.6000003815, 14.769999949145006, 
03/11/2017 13, 14.8999996185, 12.6999998093, 14.084999895085001, 
03/11/2017 14, 13, 11.8000001907, 12.578333282468334, 
03/11/2017 15, 14.1000003815, 11.8000001907, 12.934999942773333, 
03/11/2017 16, 14.6999998093, 13.8999996185, 14.296666701633345, 
03/11/2017 17, 13.8999996185, 11.3999996185, 12.853333377833337, 
03/11/2017 18, 11.8999996185, 11.3000001907, 11.598333406443334, 
03/11/2017 19, 11.6999998093, 10.6999998093, 11.151666688921663, 
03/11/2017 20, 10.8000001907, 10.5, 10.684999942804996, 
03/11/2017 21, 10.6999998093, 10.3000001907, 10.564999993655, 
03/11/2017 22, 10.3000001907, 9.89999961853, 10.153333377841841, 
03/11/2017 23, 9.89999961853, 9.69999980927, 9.809999879200664, 
03/12/2017 00, 10.1999998093, 9.80000019073, 10.055000050882503, 
03/12/2017 01, 10, 7.80000019073, 8.742857141153747, 
03/12/2017 02, 8, 7.69999980927, 7.810000149405658, 
03/12/2017 03, 7.90000009537, 7.40000009537, 7.708333373068506, 
03/12/2017 04, 7.40000009537, 7, 7.206666644414168, 
03/12/2017 05, 7, 6.59999990463, 6.848333350817665, 
03/12/2017 06, 7.09999990463, 6.59999990463, 6.818333331744002, 
03/12/2017 07, 8.30000019073, 7, 7.546666646003499, 
03/12/2017 08, 10.3000001907, 8.30000019073, 9.176666657131499, 
03/12/2017 09, 14.1000003815, 10.1999998093, 12.074999968206669, 
03/12/2017 10, 14.8999996185, 13.6999998093, 14.44833335876666, 
03/12/2017 11, 15.6999998093, 14.6999998093, 15.119999980925005, 
03/12/2017 12, 16.1000003815, 14.8999996185, 15.40166665713167, 
03/12/2017 13, 16.7999992371, 15.1999998093, 16.056666866929994, 
03/12/2017 14, 16.7999992371, 15.1999998093, 15.621666606258328, 
03/12/2017 15, 16.2000007629, 15.1000003815, 15.721666733418335, 
03/12/2017 16, 16.2999992371, 15.3000001907, 15.70666667619834, 
03/12/2017 17, 15.3999996185, 13.8999996185, 14.713333257044999, 
03/12/2017 18, 13.8999996185, 12.8000001907, 13.406666612618329, 
03/12/2017 19, 12.8000001907, 11.6999998093, 12.218333323796667, 
03/12/2017 20, 12, 11.3999996185, 11.66000003815166, 
03/12/2017 21, 11.3999996185, 10.8000001907, 11.074999984103338, 
03/12/2017 22, 10.8000001907, 9.80000019073, 10.20499990780983, 
03/12/2017 23, 9.80000019073, 9.19999980927, 9.498333263397663, 
03/13/2017 00, 9.30000019073, 8.60000038147, 8.998333406448667, 
03/13/2017 01, 8.60000038147, 8, 8.385000022251495, 
03/13/2017 02, 8, 7, 7.606666676203502, 
03/13/2017 03, 7.59999990463, 6.90000009537, 7.283333341280666, 
03/13/2017 04, 7.09999990463, 6.59999990463, 6.9499999602625016, 
03/13/2017 05, 6.59999990463, 6, 6.263333280881338, 
03/13/2017 06, 6.90000009537, 6.09999990463, 6.3666666189835, 
03/13/2017 07, 9, 6.90000009537, 7.800000031789, 
