datetime, Max, Min, Average,
08/10/2017 05,21.29999924,21.10000038,21.20833378, 
08/10/2017 06,21.5,21.29999924,21.38611068, 
08/10/2017 07,21.60000038,21.10000038,21.39454571, 
08/10/2017 08,21.29999924,21.10000038,21.19705935, 
08/10/2017 09,21.39999962,21.10000038,21.20666703, 
08/10/2017 10,22.20000076,21.20000076,21.59500008, 
08/10/2017 11,25.70000076,22.10000038,24.40499996, 
08/10/2017 12,25.60000038,23.89999962,24.69833339, 
08/10/2017 13,23.89999962,22.70000076,23.00000013, 
08/10/2017 14,24.70000076,23.10000038,24.05000003, 
08/10/2017 15,26.39999962,24.79999924,25.68833326, 
08/10/2017 16,27,25.60000038,26.32499997, 
08/10/2017 17,25.60000038,25,25.28666674, 
08/10/2017 18,25,23.60000038,24.18500007, 
08/10/2017 19,23.70000076,23.5,23.63833386, 
08/10/2017 20,23.70000076,22,22.90000025, 
08/10/2017 21,22.10000038,21.60000038,21.9750001, 
08/10/2017 22,21.60000038,21.39999962,21.52333342, 
08/10/2017 23,21.5,21.20000076,21.35333309, 
08/11/2017 00,21.39999962,21.20000076,21.28499956, 
08/11/2017 01,21.39999962,21.20000076,21.32666626, 
08/11/2017 02,21.5,21.20000076,21.28166701, 
08/11/2017 03,21.5,21.29999924,21.43666643, 
08/11/2017 04,21.39999962,21.20000076,21.29999965, 
08/11/2017 05,21.39999962,21.29999924,21.34482699, 
08/11/2017 06,21.60000038,21.29999924,21.43777754, 
08/11/2017 07,21.60000038,21.20000076,21.41666686, 
08/11/2017 08,21.5,21.20000076,21.38666633, 
08/11/2017 09,21.89999962,21.29999924,21.73499969, 
08/11/2017 10,22.5,21.79999924,22.12444428, 
08/11/2017 11,23.70000076,22.39999962,23.06792464, 
08/11/2017 12,23.79999924,23,23.3683335, 
08/11/2017 13,24.70000076,23,23.77500025, 
08/11/2017 14,26.29999924,24.70000076,25.61833328, 
08/11/2017 15,26.29999924,24.5,25.13000015, 
08/11/2017 16,26.79999924,25.70000076,26.10000003, 
08/11/2017 17,25.79999924,24.10000038,24.8016668, 
08/11/2017 18,24.10000038,23.5,23.82166656, 
08/11/2017 19,23.60000038,23.29999924,23.4816666, 
08/11/2017 20,23.39999962,23.20000076,23.26785697, 
08/11/2017 21,23.5,23.39999962,23.43478236, 
08/11/2017 22,23.5,23.20000076,23.3871793, 
08/11/2017 23,23.29999924,22.89999962,23.06999992, 
08/12/2017 00,22.89999962,22.20000076,22.55624998, 
08/12/2017 01,22.20000076,21.89999962,22.08636397, 
08/12/2017 02,22.20000076,21.89999962,22.1233338, 
08/12/2017 03,22.20000076,22.10000038,22.17500067, 
08/12/2017 04,22.29999924,22,22.15833391, 
08/12/2017 05,22.29999924,22,22.17166694, 
08/12/2017 06,22.60000038,22.20000076,22.40999985, 
08/12/2017 07,22.70000076,22.10000038,22.35000029, 
08/12/2017 08,22.10000038,21.79999924,21.9179484, 
08/12/2017 09,22.10000038,21.60000038,21.81836724, 
08/12/2017 10,23.10000038,21.70000076,22.28666668, 
08/12/2017 11,24,23.20000076,23.73529416, 
08/12/2017 12,25.5,24.29999924,24.91296309, 
08/12/2017 13,27.20000076,25.5,26.5266667, 
08/12/2017 14,26.70000076,25.29999924,26.07499985, 
08/12/2017 15,25.29999924,23.79999924,24.56166668, 
08/12/2017 16,23.79999924,21.89999962,23.00999982, 
08/12/2017 17,21.79999924,21.39999962,21.53166666, 
08/12/2017 18,21.5,21.20000076,21.30666653, 
08/12/2017 19,21.20000076,20.70000076,20.97999996, 
08/12/2017 20,21.20000076,20.89999962,21.06000023, 
08/12/2017 21,21,20.79999924,20.92647031, 
08/12/2017 22,21.89999962,21,21.52333345, 
08/12/2017 23,21.89999962,21.29999924,21.73877514, 
08/13/2017 00,21,20.89999962,20.99032254, 
08/13/2017 01,21.79999924,21,21.47333352, 
08/13/2017 02,21.60000038,20.79999924,21.17999999, 
08/13/2017 03,20.79999924,20.20000076,20.43428552, 
08/13/2017 04,20.20000076,20,20.07166694, 
08/13/2017 05,20.10000038,19.89999962,20.02666677, 
08/13/2017 06,20.20000076,19.89999962,20.0616669, 
08/13/2017 07,19.89999962,19.60000038,19.75666672, 
08/13/2017 08,20.79999924,19.89999962,20.17666674, 
08/13/2017 09,21.70000076,20.39999962,20.92333355, 
08/13/2017 10,24.29999924,21.60000038,23.20833333, 
08/13/2017 11,25.70000076,24.10000038,24.82500013, 
08/13/2017 12,26.10000038,25.29999924,25.76500009, 
08/13/2017 13,26.10000038,25,25.58000015, 
08/13/2017 14,26.79999924,25.89999962,26.28999999, 
08/13/2017 15,26.70000076,25.79999924,26.16551708, 
08/13/2017 16,26.29999924,25.29999924,25.74500011, 
08/13/2017 17,25.39999962,23.70000076,24.38666658, 
08/13/2017 18,23.60000038,22.79999924,23.09499982, 
08/13/2017 19,23.10000038,22.79999924,22.97833325, 
08/13/2017 20,22.89999962,22.60000038,22.71000039, 
08/13/2017 21,22.60000038,22.29999924,22.44999981, 
