datetime, Max, Min, Average
06/11/2017 19, 25.5, 25.2999992371, 25.35769176483846, 
06/11/2017 20, 25.3999996185, 24.5, 24.973684059955264, 
06/11/2017 21, 24.5, 23.8999996185, 24.169047809771428, 
06/11/2017 22, 24, 23.3999996185, 23.741509491526415, 
06/11/2017 23, 23.2999992371, 22.8999996185, 23.04390246693415, 
06/12/2017 00, 22.8999996185, 22.6000003815, 22.742424300221206, 
06/12/2017 01, 22.5, 22.2000007629, 22.418965372534483, 
06/12/2017 02, 22.2000007629, 21.6000003815, 21.992105433807904, 
06/12/2017 03, 21.7000007629, 21.2000007629, 21.41282066932051, 
06/12/2017 04, 21.2999992371, 21.2000007629, 21.21500053403, 
06/12/2017 05, 21.6000003815, 21.2999992371, 21.436585123958526, 
06/12/2017 06, 22.5, 21.6000003815, 22.105555322441674, 
06/12/2017 07, 23.5, 22.5, 23.120000076290005, 
06/12/2017 08, 24.6000003815, 23.7999992371, 24.30000025431334, 
06/12/2017 09, 26.1000003815, 24.7000007629, 25.654545466106065, 
06/12/2017 10, 27.7999992371, 26.7000007629, 27.308000030504, 
06/12/2017 11, 28.6000003815, 26.8999996185, 27.92000007628667, 
06/12/2017 12, 28.8999996185, 28.1000003815, 28.57741946559032, 
06/12/2017 13, 29.1000003815, 28.2000007629, 28.59411789387841, 
06/12/2017 14, 29.2999992371, 28.6000003815, 29.056862962015675, 
06/12/2017 15, 29.6000003815, 29.1000003815, 29.38833312988169, 
06/12/2017 16, 29.5, 28.8999996185, 29.13478241795001, 
06/12/2017 17, 29.1000003815, 28.2000007629, 28.539534945825583, 
06/12/2017 18, 28.5, 26.5, 27.251515012796965, 
06/12/2017 19, 26.3999996185, 25.6000003815, 25.954545419867248, 
06/12/2017 20, 25.6000003815, 25.6000003815, 25.6000003815, 
06/12/2017 21, 24.2000007629, 24.1000003815, 24.126316271342112, 
06/12/2017 22, 24.1000003815, 23.2000007629, 23.789999834685002, 
06/12/2017 23, 23.2000007629, 22.6000003815, 22.913333320623334, 
06/13/2017 00, 22.7000007629, 22, 22.365000311521666, 
06/13/2017 01, 22.1000003815, 21.3999996185, 21.749999968201667, 
06/13/2017 02, 21.7000007629, 21.3999996185, 21.561666901906644, 
06/13/2017 03, 22.1000003815, 21.5, 21.796666717519994, 
06/13/2017 04, 22.2000007629, 21.5, 21.80270277487838, 
06/13/2017 05, 21.7000007629, 21.2000007629, 21.40333318710166, 
06/13/2017 06, 22.2000007629, 21.3999996185, 21.695000108078332, 
06/13/2017 07, 24.1000003815, 22.2000007629, 23.14193547157097, 
06/13/2017 08, 25.3999996185, 24.1000003815, 24.904999955505, 
06/13/2017 09, 26.8999996185, 25.3999996185, 25.869230600507702, 
06/13/2017 10, 27.3999996185, 26.5, 26.936538366171153, 
06/13/2017 11, 28.8999996185, 27.2000007629, 27.96833349862999, 
06/13/2017 12, 29.3999996185, 28.2999992371, 28.953333314254987, 
06/13/2017 13, 29.7000007629, 28.7999992371, 29.166666730251666, 
06/13/2017 14, 29.7000007629, 29, 29.311666584020006, 
06/13/2017 15, 29.5, 28.7999992371, 29.08333339692166, 
06/13/2017 16, 29.5, 28.7999992371, 29.14000015258832, 
06/13/2017 17, 29.2999992371, 27.8999996185, 28.86999998092666, 
06/13/2017 18, 27.8999996185, 26.7999992371, 27.364999993633326, 
06/13/2017 19, 26.7999992371, 25.7999992371, 26.22999995549668, 
06/13/2017 20, 25.7999992371, 25, 25.54000021616499, 
06/13/2017 21, 25, 24.5, 24.729999796564993, 
06/13/2017 22, 24.6000003815, 24.2000007629, 24.363636320290905, 
06/13/2017 23, 23.7000007629, 23.2000007629, 23.47272725539091, 
06/14/2017 00, 23.2000007629, 23.1000003815, 23.176923751807696, 
06/14/2017 01, 23.1000003815, 22, 22.430952617099994, 
06/14/2017 02, 22, 21.5, 21.864999866473333, 
06/14/2017 03, 21.5, 21, 21.211363705731806, 
06/14/2017 04, 21.2000007629, 20.7999992371, 20.996666653941688, 
06/14/2017 05, 21.2000007629, 20.7999992371, 21.033333460474985, 
06/14/2017 06, 21.7999992371, 21.2000007629, 21.410000133503328, 
06/14/2017 07, 24, 21.7999992371, 23.138333129885005, 
06/14/2017 08, 25.6000003815, 24.1000003815, 24.885106431680853, 
06/14/2017 09, 26.7999992371, 25.7000007629, 26.235999832158015, 
06/14/2017 10, 28.2999992371, 27.6000003815, 27.912500063579163, 
06/14/2017 11, 28.5, 28, 28.210000038155005, 
06/14/2017 12, 29.3999996185, 28.3999996185, 28.795000108085006, 
06/14/2017 13, 29.6000003815, 28.6000003815, 29.198333326979995, 
06/14/2017 14, 30.5, 28.5, 29.54333337147833, 
06/14/2017 15, 29.6000003815, 28.5, 29.01000006994, 
06/14/2017 16, 29.2000007629, 26.6000003815, 28.150000158946664, 
06/14/2017 17, 27.8999996185, 25.8999996185, 27.13076928945384, 
06/14/2017 18, 26.2000007629, 25.5, 25.93714305334, 
06/14/2017 19, 26.1000003815, 25.6000003815, 25.818333435061678, 
06/14/2017 20, 25.7999992371, 25.2000007629, 25.646666717526667, 
06/14/2017 21, 25.2000007629, 24.7000007629, 24.91842124335526, 
06/14/2017 22, 24.7000007629, 24.1000003815, 24.39166679382332, 
06/14/2017 23, 24.1000003815, 23.5, 23.73333355587332, 
06/15/2017 00, 23.6000003815, 23, 23.276666895554992, 
