datetime, Max, Min, Average,
01/16/2017 05,3.700000048,3.299999952,3.426666717, 
01/16/2017 06,3.700000048,3.400000095,3.523333347, 
01/16/2017 07,4.5,3.5,3.88833334, 
01/16/2017 08,7.699999809,4.599999905,6.06499997, 
01/16/2017 09,10.60000038,7.699999809,9.200000025, 
01/16/2017 10,13.80000019,11,12.71249999, 
01/16/2017 11,16.20000076,14.10000038,15.35531917, 
01/16/2017 12,19.10000038,16.20000076,17.77500013, 
01/16/2017 13,20.20000076,19,19.48333333, 
01/16/2017 14,18.89999962,18.39999962,18.59666675, 
01/16/2017 15,19,17.10000038,18.11500012, 
01/16/2017 16,17.10000038,16.10000038,16.57234054, 
01/16/2017 17,16,14.19999981,15.05166664, 
01/16/2017 18,14.30000019,12.80000019,13.85666671, 
01/16/2017 19,12.89999962,11.10000038,11.97833328, 
01/16/2017 20,11.19999981,9.600000381,10.36333329, 
01/16/2017 21,9.699999809,8.5,9.083333302, 
01/16/2017 22,8.5,7.300000191,7.925000072, 
01/16/2017 23,7.699999809,7.099999905,7.363333313, 
01/17/2017 00,7.699999809,6.099999905,6.773333271, 
01/17/2017 01,6.199999809,5.5,5.888333321, 
01/17/2017 02,5.5,4.900000095,5.160784301, 
01/17/2017 03,5.199999809,4.5,4.73499999, 
01/17/2017 04,4.599999905,4.199999809,4.421666733, 
01/17/2017 05,4.5,4,4.27500004, 
01/17/2017 06,4,3.799999952,3.98500001, 
01/17/2017 07,5.099999905,4,4.446666654, 
01/17/2017 08,9,5.199999809,6.71833334, 
01/17/2017 09,11.39999962,9.100000381,10.08666665, 
01/17/2017 10,14.69999981,11.30000019,13.22499997, 
01/17/2017 11,17.10000038,14.5,15.71833339, 
01/17/2017 12,18.89999962,17,18.06333326, 
01/17/2017 13,19.39999962,18.20000076,18.7000001, 
01/17/2017 14,18.89999962,17.89999962,18.39782607, 
01/17/2017 15,18.10000038,17.29999924,17.70666656, 
01/17/2017 16,17.39999962,15.39999962,16.54500012, 
01/17/2017 17,15.30000019,13.80000019,14.55666661, 
01/17/2017 18,13.80000019,12.60000038,13.22833339, 
01/17/2017 19,12.69999981,11.60000038,12.38833334, 
01/17/2017 20,11.60000038,9.899999619,10.63, 
01/17/2017 21,10,8.5,9.146666702, 
01/17/2017 22,8.399999619,7.800000191,8.083333397, 
01/17/2017 23,8,6.599999905,7.243333324, 
01/18/2017 00,6.800000191,6,6.469999965, 
01/18/2017 01,6.099999905,5.400000095,5.848333367, 
01/18/2017 02,5.400000095,5.199999809,5.348333454, 
01/18/2017 03,5.400000095,4.699999809,4.983333365, 
01/18/2017 04,4.900000095,4.300000191,4.540384623, 
01/18/2017 05,4.599999905,4.099999905,4.383333317, 
01/18/2017 06,4.400000095,4,4.288333408, 
01/18/2017 07,5.5,4.300000191,4.730000035, 
01/18/2017 08,9.100000381,5.5,7.123333359, 
01/18/2017 09,12,9.100000381,10.59666661, 
01/18/2017 10,14.89999962,12.10000038,13.68833334, 
01/18/2017 11,17.70000076,14.80000019,16.13333325, 
01/18/2017 12,19.20000076,17.79999924,18.43500004, 
01/18/2017 13,20.39999962,19.20000076,19.65666663, 
01/18/2017 14,20.29999924,19.39999962,19.89148952, 
01/18/2017 15,19.79999924,19,19.42000022, 
01/18/2017 16,19.20000076,17,18.50500021, 
01/18/2017 17,16.89999962,15.10000038,15.84833339, 
01/18/2017 18,15,13.30000019,14.19333324, 
01/18/2017 19,13.30000019,11.89999962,12.6683334, 
01/18/2017 20,11.89999962,10.10000038,11.08999998, 
01/18/2017 21,10.10000038,9.300000191,9.70499986, 
01/18/2017 22,9.300000191,8,8.573333343, 
01/18/2017 23,8.100000381,7.099999905,7.574999968, 
01/19/2017 00,7.099999905,6.400000095,6.704999979, 
01/19/2017 01,6.5,5.800000191,6.193333379, 
01/19/2017 02,6,5.5,5.683333309, 
01/19/2017 03,5.5,5.199999809,5.391666746, 
01/19/2017 04,5.199999809,4.800000191,4.983333349, 
01/19/2017 05,5.099999905,4.199999809,4.591666698, 
01/19/2017 06,4.5,4.199999809,4.353333402, 
01/19/2017 07,5.900000095,4.5,4.968333332, 
01/19/2017 08,9.199999809,5.900000095,7.534999998, 
01/19/2017 09,12.80000019,9.100000381,10.98000002, 
01/19/2017 10,15.89999962,12.89999962,14.34333328, 
01/19/2017 11,18.60000038,15.60000038,17.22999983, 
01/19/2017 12,20.79999924,18.70000076,20.08000008, 
01/19/2017 13,20.5,19.70000076,20.03333327, 
01/19/2017 14,20.29999924,19.79999924,20.08833348, 
01/19/2017 15,20.20000076,19.39999962,19.61666676, 
01/19/2017 16,19.60000038,18.20000076,19.02333333, 
01/19/2017 17,18.20000076,15.89999962,17.16833337, 
01/19/2017 18,15.89999962,14.89999962,15.57166664, 
01/19/2017 19,15,12.30000019,13.45666669, 
01/19/2017 20,12.30000019,10.39999962,11.36333337, 
01/19/2017 21,10.30000019,9.399999619,9.91500001, 
01/19/2017 22,9.399999619,8.5,9.058333286, 
01/19/2017 23,8.5,6.900000095,7.456666644, 
01/20/2017 00,7.099999905,6.199999809,6.741666659, 
01/20/2017 01,6.400000095,5.699999809,6.12166663, 
01/20/2017 02,6.300000191,5,5.629999995, 
01/20/2017 03,5.300000191,4.5,4.895000005, 
01/20/2017 04,4.5,4,4.249999968, 
01/20/2017 05,4.400000095,4.099999905,4.228333314, 
01/20/2017 06,4.199999809,3.799999952,4.021666634, 
01/20/2017 07,5.5,4,4.568333324, 
01/20/2017 08,9.199999809,5.5,7.266666683, 
01/20/2017 09,13,9.300000191,10.95666664, 
01/20/2017 10,15.80000019,13.10000038,14.30333335, 
01/20/2017 11,18.79999924,15.60000038,17.13333338, 
01/20/2017 12,21.20000076,18.79999924,19.77833331, 
01/20/2017 13,22.10000038,21.20000076,21.60833346, 
01/20/2017 14,21.89999962,21.10000038,21.32500013, 
01/20/2017 15,21.39999962,20.20000076,20.86999989, 
01/20/2017 16,20.39999962,18.70000076,19.99833349, 
01/20/2017 17,18.60000038,16.20000076,17.25166661, 
01/20/2017 18,16.20000076,13.39999962,14.85166666, 
01/20/2017 19,13.39999962,12.60000038,13.03166669, 
01/20/2017 20,12.5,10.60000038,11.33833337, 
01/20/2017 21,10.69999981,9.100000381,9.924999889, 
01/20/2017 22,9.100000381,8.100000381,8.645000013, 
01/20/2017 23,8.199999809,7.099999905,7.565000025, 
01/21/2017 00,7.599999905,7.099999905,7.22333324, 
01/21/2017 01,7.099999905,6.199999809,6.543333387, 
01/21/2017 02,6.5,5.5,5.910000014, 
01/21/2017 03,6,5.099999905,5.528333386, 
01/21/2017 04,5.199999809,4.300000191,4.710169445, 
01/21/2017 05,4.5,4,4.251666697, 
01/21/2017 06,4.5,4,4.128888872, 
01/21/2017 07,5.599999905,4.099999905,4.801666649, 
01/21/2017 08,9.399999619,5.699999809,7.583333302, 
01/21/2017 09,13.60000038,9.5,11.31333327, 
01/21/2017 10,16.5,13.10000038,14.64166667, 
01/21/2017 11,18,16.10000038,17.18333337, 
01/21/2017 12,20.20000076,17.89999962,19.17166684, 
01/21/2017 13,20.79999924,19.39999962,20.10666672, 
01/21/2017 14,21,20,20.43000005, 
01/21/2017 15,20.39999962,18.89999962,19.70666679, 
01/21/2017 16,19,18,18.49500001, 
01/21/2017 17,17.89999962,15.19999981,16.41999998, 
01/21/2017 18,15.19999981,13.69999981,14.48833332, 
01/21/2017 19,13.69999981,12.69999981,13.24833326, 
01/21/2017 20,12.60000038,11,11.72631575, 
01/21/2017 21,11,10.19999981,10.57037034, 
01/21/2017 22,10.19999981,9.399999619,9.863157824, 
01/21/2017 23,9.399999619,8.300000191,9.00499994, 
01/22/2017 00,8.600000381,7.900000095,8.251666776, 
01/22/2017 01,8.5,6.800000191,7.473333303, 
01/22/2017 02,7.099999905,6.699999809,6.816666667, 
01/22/2017 03,7,6.199999809,6.501666745, 
01/22/2017 04,6.5,5.5,6.046153875, 
01/22/2017 05,5.599999905,5.300000191,5.406666756, 
01/22/2017 06,5.800000191,5.199999809,5.533333341, 
01/22/2017 07,6.800000191,5.400000095,5.951666665, 
01/22/2017 08,9.899999619,6.800000191,8.310000014, 
01/22/2017 09,13.60000038,10,11.80666668, 
01/22/2017 10,15.80000019,13.80000019,14.91666667, 
01/22/2017 11,18.29999924,15.89999962,17.07833335, 
01/22/2017 12,19.79999924,18,18.73666668, 
01/22/2017 13,20.39999962,19.5,19.89666672, 
01/22/2017 14,20.20000076,19.39999962,19.78166679, 
01/22/2017 15,19.79999924,18.70000076,19.46500012, 
01/22/2017 16,18.70000076,17,18.01428572, 
01/22/2017 17,16.89999962,15.30000019,16.05283025, 
01/22/2017 18,14.89999962,14.10000038,14.54313723, 
01/22/2017 19,14.10000038,12.19999981,13.27666661, 
01/22/2017 20,12.39999962,11.10000038,11.7983333, 
01/22/2017 21,11.10000038,9.899999619,10.44333337, 
01/22/2017 22,10.10000038,9.100000381,9.714999882, 
01/22/2017 23,9.199999809,8.300000191,8.700000079, 
01/23/2017 00,8.399999619,7.800000191,8.146666773, 
01/23/2017 01,7.900000095,7.099999905,7.469642818, 
01/23/2017 02,7,6.599999905,6.809615346, 
01/23/2017 03,6.900000095,6.300000191,6.596666694, 
01/23/2017 04,6.5,6,6.289473759, 
01/23/2017 05,6.5,6,6.201960816, 
01/23/2017 06,6.099999905,5.800000191,6.026315764, 
01/23/2017 07,7,5.800000191,6.266666691, 
01/23/2017 08,10.30000019,7.099999905,8.551666697, 
01/23/2017 09,13.5,10.30000019,11.76666667, 
01/23/2017 10,15.80000019,13.5,14.675, 
01/23/2017 11,18.10000038,15.60000038,16.9250001, 
01/23/2017 12,20.39999962,18.20000076,19.31333316, 
01/23/2017 13,20.70000076,19.79999924,20.30333341, 
01/23/2017 14,21.20000076,20.60000038,20.93000031, 
01/23/2017 15,21.10000038,19.60000038,20.38596485, 
01/23/2017 16,19.70000076,17.79999924,18.77837856, 
01/23/2017 17,17.70000076,15.69999981,16.57666675, 
01/23/2017 18,15.80000019,15,15.39500009, 
01/23/2017 19,15.5,13.30000019,14.31166668, 
01/23/2017 20,13.30000019,11.89999962,12.51500001, 
01/23/2017 21,11.89999962,10.69999981,11.30166667, 
01/23/2017 22,11,10,10.45833332, 
01/23/2017 23,10.19999981,9.100000381,9.52833333, 
01/24/2017 00,9.100000381,8.5,8.753333505, 
01/24/2017 01,9,7.800000191,8.340000041, 
01/24/2017 02,7.900000095,7.599999905,7.740000033, 
01/24/2017 03,7.699999809,7.099999905,7.463333313, 
01/24/2017 04,7.199999809,6.699999809,6.986666656, 
01/24/2017 05,6.699999809,6.300000191,6.524999976, 
01/24/2017 06,6.900000095,6.400000095,6.708163232, 
01/24/2017 07,7.900000095,6.800000191,7.159322076, 
01/24/2017 08,11.19999981,7.900000095,9.477777808, 
01/24/2017 09,14.10000038,11.10000038,12.54833337, 
01/24/2017 10,16.5,14.10000038,15.45438601, 
01/24/2017 11,18.39999962,16.39999962,17.3527272, 
01/24/2017 12,19.70000076,18.39999962,18.91500009, 
01/24/2017 13,20.29999924,19.10000038,19.74000003, 
01/24/2017 14,20.29999924,19.60000038,19.86666654, 
01/24/2017 15,19.89999962,19.5,19.61166677, 
01/24/2017 16,19.70000076,17.79999924,18.7, 
01/24/2017 17,17.70000076,15.80000019,16.67166678, 
