datetime, Max, Min, Average
11/07/2017 10, 23.6000003815, 20.6000003815, 21.971666908259994, 
11/07/2017 11, 25, 23.1000003815, 23.863333225248333, 
11/07/2017 12, 25.2000007629, 23.5, 24.738333320628332, 
11/07/2017 13, 26, 24.7999992371, 25.28166662852, 
11/07/2017 14, 25.2000007629, 23.1000003815, 23.67833344141333, 
11/07/2017 15, 24.7000007629, 23.2999992371, 24.093333276108346, 
11/07/2017 16, 23.3999996185, 21.2000007629, 22.419999980930005, 
11/07/2017 17, 21.2000007629, 20, 20.456000061039997, 
11/07/2017 18, 20, 19, 19.45818183205273, 
11/07/2017 19, 18.7999992371, 18, 18.450980541749026, 
11/07/2017 20, 18, 16.8999996185, 17.446551717558624, 
11/07/2017 21, 16.7999992371, 15.8000001907, 16.286792449222638, 
11/07/2017 22, 15.8000001907, 15, 15.46666666668, 
11/07/2017 23, 15.1000003815, 14.3999996185, 14.856666660308333, 
11/08/2017 00, 14.3000001907, 13.8000001907, 14.14833340646001, 
11/08/2017 01, 13.8999996185, 13.3999996185, 13.746153831461536, 
11/08/2017 02, 13.1000003815, 12.8000001907, 12.926666768379995, 
11/08/2017 03, 12.8999996185, 12.6000003815, 12.736734701667336, 
11/08/2017 04, 12.6999998093, 12.1000003815, 12.388235372676464, 
11/08/2017 05, 12.3000001907, 11.8000001907, 12.05555559794, 
11/08/2017 06, 12.6999998093, 11.8999996185, 12.129999939601667, 
11/08/2017 07, 14.6000003815, 12.6999998093, 13.524999984105, 
11/08/2017 08, 18.7000007629, 14.6000003815, 17.070689826172412, 
11/08/2017 09, 21, 18.7000007629, 20.20499995549334, 
11/08/2017 10, 23.1000003815, 21.1000003815, 21.93333333333, 
11/08/2017 11, 24.2999992371, 23.2999992371, 23.73260858784566, 
11/08/2017 12, 25.2000007629, 23.5, 24.179661088071185, 
11/08/2017 13, 26, 24.5, 25.10500001908167, 
11/08/2017 14, 25.5, 23.7999992371, 24.699999841054996, 
11/08/2017 15, 24.2999992371, 23.3999996185, 23.829999701181674, 
11/08/2017 16, 23.2000007629, 20.3999996185, 21.61666676204, 
11/08/2017 17, 20.3999996185, 19.2999992371, 19.78666658400834, 
11/08/2017 18, 19.2999992371, 18.5, 18.96779668129322, 
11/08/2017 19, 18.6000003815, 17.2000007629, 17.974999904635013, 
11/08/2017 20, 17.2000007629, 16.3999996185, 16.73214306148393, 
11/08/2017 21, 15.8000001907, 15.6999998093, 15.75, 
11/08/2017 22, 15.5, 14.6999998093, 15.085714255060719, 
11/08/2017 23, 14.6000003815, 14.1000003815, 14.466666834709523, 
11/09/2017 00, 14, 13.5, 13.621666828808328, 
11/09/2017 01, 13.6000003815, 13.1999998093, 13.279999987299998, 
11/09/2017 02, 13.1000003815, 12.1000003815, 12.575000000003335, 
11/09/2017 03, 12.3000001907, 12, 12.146666685763336, 
11/09/2017 04, 12.3000001907, 11.6999998093, 12.046666622163338, 
11/09/2017 05, 11.6999998093, 11.1999998093, 11.414999993626662, 
11/09/2017 06, 12, 11.5, 11.852542343783048, 
11/09/2017 07, 13.5, 12, 12.716279074202328, 
11/09/2017 08, 17.6000003815, 14.1999998093, 15.828813536686448, 
11/09/2017 09, 20.7000007629, 17.7000007629, 19.30166664123666, 
11/09/2017 10, 22.6000003815, 20.1000003815, 21.410000069933336, 
11/09/2017 11, 23.7999992371, 21.8999996185, 22.881666755676665, 
11/09/2017 12, 24.1000003815, 22.5, 23.28135580935932, 
11/09/2017 13, 25, 23.2000007629, 23.825000127156656, 
11/09/2017 14, 24, 23.1000003815, 23.58833351135833, 
11/09/2017 15, 23.3999996185, 22, 22.770000108086663, 
11/09/2017 16, 22.2000007629, 20, 21.203508845543855, 
11/09/2017 17, 20, 18.7000007629, 19.30666659673, 
